delta_20_60,delta_60_100,R,L
1.031009953,2.514073014,2200,2.334865
-0.410802104,-0.137388121,26.3,2.247809
-2.225293791,-0.490802368,30,2.665476
0.329982235,1.839870665,1150,2.50285
-0.152959802,-1.24417809,15,1.06279
-0.528864782,-0.153629879,31,2.092551
0.578160868,0.198656716,250,2.423568
-0.077572656,-0.688062774,150,1.642462
1.150490299,0.611471049,117,2.155072
0.593947131,-1.050738924,87,2.191147
-0.183385503,-0.86214168,63,1.753153
1.015677158,0.986166576,1300,1.683169
-0.534207349,0.211221347,540,4.536515
0.600905468,1.261319675,640,2.840689
0.806526192,0.277544832,130,2.71587
1.07341619,1.744506048,160,3.256552
1.473334863,0.608541233,1230,1.748366
-1.403683784,-0.746763092,57,1.993364
-0.494113335,-0.496317315,76,2.035101
-0.331900193,-0.885076553,190,2.637276
-1.421079627,-0.446650101,38,1.50459
-1.430718534,-0.658512044,62,2.440666
0.45701832,0.73645771,85,2.129246
1.817227777,0.099793256,108,3.961804
-0.716651671,-0.266582306,14,2.447011
0.698272665,1.761813059,1850,1.746072
-0.450653133,-0.537872565,70,2.032089
-0.215648292,-0.564615307,75,1.355844
-0.0777429,-0.690009051,35,1.208688
-0.294458891,-0.202696868,52,2.415426
-0.85560329,-0.453187216,15,1.3808133
-0.161936305,-1.219515339,13,1.860671
-1.065777268,-0.079016144,17,2.684842
1.71569115,2.973728746,1900,1.608041
-0.62964305,-0.4369306,600,2.338073
0.290553721,-0.268365156,25,2.036683
0.974782997,0.709000343,700,3.414759
-0.178032103,0.063010101,430,2.684842
-1.199805739,-3.184215436,330,3.455881
0.026712638,-0.727151748,100,3.14486
-0.307064686,-0.077261523,35,4.710248
-1.079087255,-0.797574302,15,2.017394
-0.772028955,0.267083963,28,3.373628
0.701460871,-0.427038757,138,3.099138
-0.542663834,0.764796102,26,1.422501
1.014124842,0.096197843,750,1.541454
-0.725598768,0.010627012,30,2.274597
-0.188042451,0.700013296,700,2.43057
-1.147560946,-1.067145596,30,2.355942
-0.793696375,0.071622749,16,2.671211
-0.679478116,-0.556889626,17,1.502442
-0.347347516,-0.485278506,60,2.431158
1.630268893,1.466619246,1010,2.445817
1.688857598,0.983492302,130,3.225497
1.312841185,0.420111875,300,4.81924
-0.212416751,0.355904037,22,2.120525
2.752331732,1.970299474,2050,1.694656
2.13142704,1.578666877,1100,1.785252
-0.166590157,-0.852545493,50,3.379484
-2.239504524,-1.502988402,23,1.42645
-0.467928258,-0.457644339,50,1.579249
-0.443860397,-0.662672026,32,1.47828
-1.244069184,0.203361952,18,1.16636
1.776988282,0.914790198,1380,1.535755
1.769438734,2.781793117,2040,2.883459
-0.47213019,-0.68334268,38,1.38999
-0.343323566,-1.762690139,33,1.818722
-1.186628853,-0.201805443,155,2.308164
-0.207437887,-0.448730092,21,2.084635
-1.13799478,-0.372067566,62,4.71562
-0.387587011,-0.717628361,20,1.672487
-0.745008134,-0.795494311,21,1.834583
-0.793461129,-0.528364034,450,2.827363
1.607710013,0.656042286,710,2.605391
0.377520555,-0.627015037,750,2.000565
0.848384553,-0.092457343,62,1.967154
-0.373657955,-0.287740272,40,1.958395
0.060780014,-0.807082832,30,3.166182
0.033070478,-0.268068014,39,2.584854
-0.617261667,-0.362261894,55,2.244566
1.602796152,1.937316759,1800,3.297024
-0.66151892,-0.483495656,20,1.492383
0.593328062,0.695859257,26,1.668652
-1.135422548,-0.372067566,56,1.338422
-0.223224151,-0.136731438,17,1.362086
-0.688095559,-0.262327239,26,1.769546
0.835185998,0.115054448,780,2.839154
