Aver_delta,L,clust_label
1.772541484,2.334865,1
-0.274095113,2.247809,0
1.08492645,2.50285,1
-0.698568946,1.06279,0
-0.341247331,2.092551,0
0.388408792,2.423568,1
-0.382817715,1.642462,0
0.880980674,2.155072,1
-0.228395897,2.191147,0
-0.522763592,1.753153,0
1.000921867,1.683169,1
-0.161493001,4.536515,0
0.931112572,2.840689,1
0.542035512,2.71587,1
1.408961119,3.256552,1
1.040938048,1.748366,1
-1.075223438,1.993364,0
-0.495215325,2.035101,0
-0.608488373,2.637276,0
-0.933864864,1.50459,0
-1.044615289,2.440666,0
0.596738015,2.129246,1
0.958510517,3.961804,1
-0.491616989,2.447011,0
1.230042862,1.746072,1
-0.494262849,2.032089,0
-0.3901318,1.355844,0
-0.383875976,1.208688,0
-0.24857788,2.415426,0
-0.654395253,1.3808133,0
-0.690725822,1.860671,0
-0.572396706,2.684842,0
2.344709948,1.608041,1
-0.533286825,2.338073,0
0.011094283,2.036683,1
0.84189167,3.414759,1
-0.057511001,2.684842,0
-0.350219555,3.14486,0
-0.192163105,4.710248,0
-0.938330779,2.017394,0
-0.252472496,3.373628,0
0.137211057,3.099138,1
0.111066134,1.422501,0
0.555161343,1.541454,1
-0.357485878,2.274597,0
0.255985423,2.43057,1
-1.107353271,2.355942,0
-0.361036813,2.671211,0
-0.618183871,1.502442,0
-0.416313011,2.431158,0
1.54844407,2.445817,1
1.33617495,3.225497,1
0.86647653,4.81924,1
0.071743643,2.120525,1
2.361315603,1.694656,1
1.855046959,1.785252,1
-0.509567825,3.379484,0
-0.462786299,1.579249,0
-0.553266212,1.47828,0
-0.520353616,1.16636,0
1.34588924,1.535755,1
2.275615926,2.883459,1
-0.577736435,1.38999,0
-1.053006853,1.818722,0
-0.694217148,2.308164,0
-0.32808399,2.084635,0
-0.755031173,4.71562,0
-0.552607686,1.672487,0
-0.770251223,1.834583,0
-0.660912582,2.827363,0
1.13187615,2.605391,1
-0.124747241,2.000565,0
0.377963605,1.967154,1
-0.330699114,1.958395,0
-0.373151409,3.166182,0
-0.117498768,2.584854,0
-0.489761781,2.244566,0
1.770056456,3.297024,1
-0.572507288,1.492383,0
0.64459366,1.668652,1
-0.753745057,1.338422,0
-0.179977795,1.362086,0
-0.475211399,1.769546,0
0.475120223,2.839154,1
