Aver_delta,R,clust_label
1.772541484,2200,1
-0.274095113,26.3,0
1.08492645,1150,1
-0.698568946,15,0
-0.341247331,31,0
0.388408792,250,1
-0.382817715,150,0
0.880980674,117,1
-0.228395897,87,0
-0.522763592,63,0
1.000921867,1300,1
-0.161493001,540,0
0.931112572,640,1
0.542035512,130,1
1.408961119,160,1
1.040938048,1230,1
-1.075223438,57,0
-0.495215325,76,0
-0.608488373,190,0
-0.933864864,38,0
-1.044615289,62,0
0.596738015,85,1
0.958510517,108,1
-0.491616989,14,0
1.230042862,1850,1
-0.494262849,70,0
-0.3901318,75,0
-0.383875976,35,0
-0.24857788,52,0
-0.654395253,15,0
-0.690725822,13,0
-0.572396706,17,0
2.344709948,1900,1
-0.533286825,600,0
0.011094283,25,1
0.84189167,700,1
-0.057511001,430,0
-0.350219555,100,0
-0.192163105,35,0
-0.938330779,15,0
-0.252472496,28,0
0.137211057,138,1
0.111066134,26,0
0.555161343,750,1
-0.357485878,30,0
0.255985423,700,1
-1.107353271,30,0
-0.361036813,16,0
-0.618183871,17,0
-0.416313011,60,0
1.54844407,1010,1
1.33617495,130,1
0.86647653,300,1
0.071743643,22,1
2.361315603,2050,1
1.855046959,1100,1
-0.509567825,50,0
-0.462786299,50,0
-0.553266212,32,0
-0.520353616,18,0
1.34588924,1380,1
2.275615926,2040,1
-0.577736435,38,0
-1.053006853,33,0
-0.694217148,155,0
-0.32808399,21,0
-0.755031173,62,0
-0.552607686,20,0
-0.770251223,21,0
-0.660912582,450,0
1.13187615,710,1
-0.124747241,750,0
0.377963605,62,1
-0.330699114,40,0
-0.373151409,30,0
-0.117498768,39,0
-0.489761781,55,0
1.770056456,1800,1
-0.572507288,20,0
0.64459366,26,1
-0.753745057,56,0
-0.179977795,17,0
-0.475211399,26,0
0.475120223,780,1
